#,Title,URL,State,Labels,# of Labels,Assignees,# of Assignees,# of Comments,Closed at,Created at,Locked
2051,Version corresponding to Pytorch Version,https://github.com/ninja-build/ninja/issues/2051,closed,[],0,[],0,3,2021-11-22 12:27:34,2021-11-18 14:31:27,False
2049,Incorrect version of Ninja installed using PIP on M1,https://github.com/ninja-build/ninja/issues/2049,closed,[],0,[],0,1,2021-11-14 11:57:06,2021-11-13 09:23:18,False
2048,"Recompact fail with ""failed recompaction: No such file or directory""",https://github.com/ninja-build/ninja/issues/2048,open,"[Label(name=""windows""), Label(name=""bug"")]",2,[],0,3,,2021-11-12 11:06:25,False
2046,1.7.2 release download is broken,https://github.com/ninja-build/ninja/issues/2046,closed,[],0,[],0,1,2021-11-08 16:24:59,2021-11-07 20:44:22,False
2044,NINJA_STATUS format to show time spent per edge,https://github.com/ninja-build/ninja/issues/2044,open,[],0,[],0,0,,2021-11-04 16:59:36,False
2039,"how to block tons of ""Note: including file: """,https://github.com/ninja-build/ninja/issues/2039,closed,[],0,[],0,1,2021-11-08 08:47:39,2021-11-01 13:14:36,False
2038,lear,https://github.com/ninja-build/ninja/issues/2038,closed,[],0,[],0,0,2021-11-08 08:46:24,2021-10-28 17:07:32,False
2037,install command not documented,https://github.com/ninja-build/ninja/issues/2037,closed,[],0,[],0,1,2021-10-28 07:24:21,2021-10-27 17:16:48,False
2035,Website: Grammar/structure: Comma missing. Present in manual.asciidoc,https://github.com/ninja-build/ninja/issues/2035,closed,[],0,[],0,1,2021-10-11 21:15:15,2021-10-11 16:25:40,False
2033,posix_spawn: Argument list too long,https://github.com/ninja-build/ninja/issues/2033,closed,[],0,[],0,1,2021-10-11 21:16:48,2021-10-06 10:36:58,False
2032,ninja configure error on PowerPC (building via macports),https://github.com/ninja-build/ninja/issues/2032,closed,[],0,[],0,2,2021-10-11 21:17:36,2021-10-06 07:27:33,False
2029,Better scheduler for parallelized linker,https://github.com/ninja-build/ninja/issues/2029,open,[],0,[],0,3,,2021-09-22 03:18:51,False
2028,git history differs slightly between master and releases?,https://github.com/ninja-build/ninja/issues/2028,closed,[],0,[],0,8,2021-09-20 07:12:03,2021-09-19 20:20:45,False
2027,Super old/new dir timestamps cause ninja error,https://github.com/ninja-build/ninja/issues/2027,open,"[Label(name=""bug"")]",1,[],0,0,,2021-09-16 15:27:35,False
2026,No support for Apple Silicon,https://github.com/ninja-build/ninja/issues/2026,closed,[],0,[],0,1,2021-09-13 12:54:16,2021-09-13 11:53:04,False
2022,Support WinGet package manager for Windows 10+,https://github.com/ninja-build/ninja/issues/2022,open,"[Label(name=""windows"")]",1,[],0,6,,2021-08-31 10:01:43,False
2021,"can not find file after do ""ninja install"" on windows",https://github.com/ninja-build/ninja/issues/2021,closed,[],0,[],0,6,2021-11-08 08:49:00,2021-08-28 00:33:21,False
2018,"ninja -t deps performance regression - now 10x slower on Windows, due to ec8de9c247",https://github.com/ninja-build/ninja/issues/2018,closed,"[Label(name=""windows"")]",1,[],0,9,2021-10-04 20:21:25,2021-08-24 19:17:16,False
2016,how to implement incremental compilation under the path of different source directories,https://github.com/ninja-build/ninja/issues/2016,open,[],0,[],0,0,,2021-08-18 09:21:44,False
2015,"@jhasse while this fixed the problem in the case where I originally observed it, now that 1.10.1 came out with the fix, nightly testing of CMake with our workaround removed revealed that there is another case in which the problem still appears.  See discussion [here](https://gitlab.kitware.com/cmake/cmake/-/issues/20274#note_817221) for my analysis in CMake's issue tracker.",https://github.com/ninja-build/ninja/issues/2015,closed,[],0,[],0,0,2021-08-17 06:17:09,2021-08-16 18:37:14,False
2014,Doesn't detect rust macros when compiling pot files,https://github.com/ninja-build/ninja/issues/2014,closed,[],0,[],0,2,2021-08-09 15:48:35,2021-08-05 06:35:59,False
2013,Disable exceptions and RTTI at compiletime,https://github.com/ninja-build/ninja/issues/2013,open,[],0,[],0,0,,2021-08-04 16:48:29,False
2012,unexpected EOF,https://github.com/ninja-build/ninja/issues/2012,closed,[],0,[],0,0,2021-08-05 22:44:14,2021-08-02 21:08:02,False
2011,Help installing ninja through binary on my mac,https://github.com/ninja-build/ninja/issues/2011,closed,[],0,[],0,1,2021-08-02 09:34:53,2021-07-30 17:27:46,False
2010,Ninja can't clean files on Windows when using grpc generator with protocolbuffer,https://github.com/ninja-build/ninja/issues/2010,open,"[Label(name=""windows""), Label(name=""bug"")]",2,[],0,1,,2021-07-30 14:20:07,False
2008,ninja thinks the root directory doesn't exist,https://github.com/ninja-build/ninja/issues/2008,open,"[Label(name=""bug"")]",1,[],0,0,,2021-07-27 23:11:53,False
2006,Unable to build form source with clang,https://github.com/ninja-build/ninja/issues/2006,closed,"[Label(name=""windows""), Label(name=""help wanted"")]",2,[],0,1,2021-11-15 13:30:27,2021-07-27 21:34:30,False
2004,"Stopwatch::Now is too expensive, too imprecise",https://github.com/ninja-build/ninja/issues/2004,open,[],0,[],0,6,,2021-07-27 05:38:10,False
1999,ninja allocation overhead is high,https://github.com/ninja-build/ninja/issues/1999,open,[],0,[],0,3,,2021-07-23 23:33:30,False
1998,"-d stats overhead is a bit too high, due to canonicalize str and friends",https://github.com/ninja-build/ninja/issues/1998,open,[],0,[],0,2,,2021-07-23 23:29:42,False
1997,Ninja doesn't forward environment variables to `meson` on regeneration,https://github.com/ninja-build/ninja/issues/1997,open,[],0,[],0,4,,2021-07-22 20:45:32,False
1995,Cleandead removes input files that used to be outputs in a previous build.,https://github.com/ninja-build/ninja/issues/1995,closed,"[Label(name=""bug"")]",1,[],0,3,2021-07-29 06:56:45,2021-07-21 16:44:29,False
1993,Mark a build up to date without generating output file,https://github.com/ninja-build/ninja/issues/1993,closed,[],0,[],0,2,2021-12-21 18:33:02,2021-07-16 07:35:23,False
1992,ninja: error: loading 'build.ninja': No such file or directory,https://github.com/ninja-build/ninja/issues/1992,closed,[],0,[],0,1,2021-07-06 12:44:35,2021-07-02 17:14:32,False
1990,"On ninja-build.org ""cat README"" should be ""cat README.md""",https://github.com/ninja-build/ninja/issues/1990,closed,[],0,[],0,1,2021-06-29 06:49:34,2021-06-23 19:39:33,False
1989,What does it mean?,https://github.com/ninja-build/ninja/issues/1989,closed,[],0,[],0,0,2021-06-23 18:35:51,2021-06-23 17:35:11,False
1988,Dynamic dependency files specified as inputs together with outputs of the same builds break build order,https://github.com/ninja-build/ninja/issues/1988,open,[],0,[],0,0,,2021-06-23 04:42:52,False
1987,运行ninja出现 ninja: fatal: CreateProcess: %1 不是有效的 Win32 应用程序。日志如下：,https://github.com/ninja-build/ninja/issues/1987,closed,[],0,[],0,0,2021-06-23 06:03:32,2021-06-22 01:39:59,False
1985,ninja -v -C build ninja: Entering directory `build' ninja: fatal: chdir to 'build' - No such file or directory,https://github.com/ninja-build/ninja/issues/1985,closed,[],0,[],0,3,2021-06-15 16:03:56,2021-06-15 15:45:04,False
1984,Why Ninja outputs no colors but make does using the same CMakeLists.txt,https://github.com/ninja-build/ninja/issues/1984,closed,[],0,[],0,1,2021-06-15 06:35:35,2021-06-13 13:08:15,False
1981,ninja destroys dependency files after created by compiler,https://github.com/ninja-build/ninja/issues/1981,open,"[Label(name=""windows""), Label(name=""bug"")]",2,[],0,2,,2021-06-09 11:33:22,False
1980,"ninja -C [path to .build] .check endlessly ""Running tests"" on FreeBSD",https://github.com/ninja-build/ninja/issues/1980,closed,[],0,[],0,1,2021-06-07 06:47:08,2021-06-06 14:03:23,False
1978,Segfault when compiling a project,https://github.com/ninja-build/ninja/issues/1978,open,"[Label(name=""bug"")]",1,[],0,3,,2021-06-03 10:31:32,False
